taxID,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18
35,0,0,0,0,1,0,0,0,0,0
48,0,0,0,0,1,0,0,0,0,0
52,0,1,0,0,4158,0,0,0,1,0
56,0,0,0,0,237,0,0,0,0,0
63,0,1,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,1,0,0
197,0,0,0,1,0,0,0,2,0,0
213,1,0,0,0,1,5,6,2,0,0
217,3,0,0,0,4,0,0,65,0,0
227,0,0,0,0,0,1,0,0,0,0
235,0,0,0,0,0,1,0,88,0,0
238,0,0,0,0,0,0,0,0,4,0
250,0,0,82,0,0,1,0,0,1,1
253,0,0,3,0,0,0,0,0,1,0
254,0,0,1,0,0,0,0,0,3,0
256,0,0,0,2,0,0,0,0,0,0
258,0,0,0,0,0,0,1,0,0,0
285,0,1,1,0,0,0,0,1,0,1
287,0,0,0,0,0,0,0,2,0,0
293,0,0,0,0,0,0,0,0,0,1
294,0,0,0,0,0,0,0,4,0,0
297,0,0,0,1,0,0,0,0,1,4
303,0,0,0,0,0,0,0,151,0,0
305,1,0,0,0,0,1,0,0,1,0
316,1,0,0,0,0,0,0,2,0,0
317,0,0,0,0,0,0,0,1,0,0
333,0,0,0,0,0,0,0,1,0,0
337,0,0,0,3,0,0,0,0,2,17
375,0,0,0,0,0,0,0,0,0,6
376,0,0,0,0,0,0,0,2,0,13
381,0,0,0,0,0,1,0,0,0,0
382,0,0,0,0,0,97,0,0,0,0
386,0,0,0,0,0,0,0,9,1,0
408,0,0,0,0,0,1,0,0,0,0
410,0,0,0,0,0,1,0,0,0,0
435,0,0,0,0,0,0,0,1,0,0
436,0,0,0,0,0,1,0,0,0,0
454,0,0,0,0,0,0,1,0,0,0
470,1,0,0,0,0,0,1,3,0,0
471,0,0,0,0,0,0,0,10,0,0
485,0,0,0,0,0,1,0,0,0,0
518,0,3,0,0,0,0,0,26,1,0
519,9,2,0,0,0,0,0,18,0,0
520,0,1,0,0,0,0,0,2,0,0
521,0,0,0,0,0,0,0,1,0,0
529,3,2,1,2,1,86,0,7985,2,0
536,0,2,1,0,3,0,0,5,0,2
542,0,0,0,0,2,0,0,0,0,0
545,104,0,0,0,2,0,0,0,0,0
546,38,0,0,0,0,0,0,0,0,3
548,25,0,0,0,0,0,0,0,0,1
549,2,0,0,0,0,0,0,0,1,0
550,11,0,0,0,0,0,0,0,0,0
552,2,0,0,0,0,0,0,0,0,0
562,165119,34,64,24,1903,32,67,30,723,2388
563,1,0,0,0,0,0,0,0,0,0
564,8814,6,6,1,141,1,3,1,17,139
565,4,0,0,0,0,0,0,0,0,0
571,21,0,0,0,0,0,0,0,0,0
573,4528,3,7,5,70,4,7,3,23,92
582,64,0,1,0,2,0,0,0,1,1
584,23,0,0,0,0,0,0,0,1,0
587,3,0,0,0,0,0,0,0,0,0
588,20,0,0,0,0,0,0,0,1,0
595,60,0,0,0,0,0,0,0,0,1
596,53,0,0,0,2,0,1,0,1,0
598,48,0,0,0,2,0,0,0,1,2
600,3,0,0,0,0,0,0,0,0,0
605,32,0,0,0,0,0,0,0,0,0
611,26,0,0,0,0,0,0,0,0,1
615,6,0,0,0,0,0,0,0,0,0
618,3,0,0,0,0,0,0,0,1,0
621,1680,0,0,0,15,0,1,2,8,12
622,2923,1,1,1,27,0,0,0,8,39
623,4872,0,3,2,45,0,1,1,22,106
624,3238,0,0,0,38,0,0,1,18,72
630,1,0,0,0,0,0,0,0,0,0
631,1,0,0,0,0,0,0,0,0,0
632,7,0,0,0,0,0,0,0,0,0
633,1,0,0,0,0,0,0,0,0,0
636,8,0,0,0,0,0,0,0,0,0
638,2,0,0,0,0,0,0,0,0,0
645,0,0,0,0,1,0,0,0,0,0
666,1,0,0,0,0,0,0,0,0,0
670,1,0,0,0,0,0,0,0,0,0
680,1,0,0,0,0,0,0,0,0,0
703,1,0,0,0,0,0,0,0,0,0
714,0,0,0,0,0,1,0,0,0,0
726,0,0,0,0,0,0,0,0,1,0
732,0,0,0,0,0,0,0,0,1,0
783,0,0,0,0,0,0,0,0,0,1
817,92,1,1,0,2,102,49,16,407,4
818,96,25,1,0,0,93,53,49,243,0
820,7032,31,6,4,8,4138,3592,1680,8053,36
821,8,2,0,0,0,485,333,3,32,2
823,12697,13,5,7,7,2609,671,5,8734,1869
824,0,0,0,0,0,0,0,0,1,0
827,1,0,0,0,0,0,0,0,0,0
831,112,4,0,1,1,305,198,35,143,13
837,2,0,0,0,0,0,1,0,4,0
839,10,1,0,0,0,21,24,4,2,11
844,0,0,0,0,0,0,0,1,0,0
847,0,0,1,0,0,0,0,0,0,0
853,0,0,0,0,0,2,1,0,2,0
876,19,0,0,0,1,59,5,0,104,0
881,7,0,0,0,0,4,1,0,0,0
882,23,0,0,0,0,12,0,0,0,0
901,11,0,0,0,0,226,5,0,103,1
907,0,3,0,0,0,2,0,0,0,0
920,2,0,0,0,0,0,0,0,0,1
926,0,0,0,0,0,3,1,0,3,0
944,0,0,0,0,0,0,0,1,0,0
959,0,0,0,0,0,0,1,0,0,0
964,0,0,0,0,0,0,0,4,0,0
979,1,0,0,2,0,0,2,0,0,0
1017,0,0,0,4,1,1,0,0,0,0
1018,0,0,0,4,0,0,1,0,0,0
1042,0,19,1,0,6,0,0,0,0,16
1052,0,0,0,0,0,0,1,0,0,0
1076,0,0,0,0,0,0,0,0,0,1
1079,0,0,0,0,0,0,0,0,1,0
1085,0,0,0,0,0,0,0,0,1,0
1112,0,1,0,0,0,0,0,0,0,1
1126,41,1,5,0,0,171,123,3,0,6
1140,2,0,0,0,0,83,95,14,2,0
1147,0,0,0,0,0,2,2,0,0,0
1160,2,0,0,0,0,0,0,0,2,0
1247,0,0,0,0,0,0,0,0,1,0
1249,0,0,0,0,0,1,0,0,1,2
1252,0,0,0,0,0,0,0,0,28,0
1254,0,1,0,1,0,1,0,0,6,7
1255,0,0,0,0,0,2,2,0,1,4
1260,1,2,0,0,0,0,0,1,0,0
1270,0,0,0,0,21,0,1,0,0,0
1273,0,1,0,0,35,0,0,1,0,1
1274,0,1,0,0,0,0,0,0,0,0
1280,26,32,12,2042,706,20,14,28,232,29
1281,1,0,0,166,30,2,0,0,1,1
1282,1,1,3,109,7522,3,4,6,8234,4
1283,1,0,0,97,55,2,0,0,56,0
1284,0,0,0,0,0,1,0,0,0,0
1286,0,0,0,67,9,0,1,0,1,0
1288,0,0,0,15,4,0,0,1,1,1
1290,0,0,0,39,14,0,0,0,10,1
1292,8,2,1,1291,256,10,7,1,3,0
1293,0,0,0,5,1,1,0,0,0,0
1294,0,0,0,0,2,0,0,0,1,0
1295,7,28,31,1,48,0,1,39,1,18
1296,193,5,7,17837,5059,178,52,3,6,6
1302,0,0,0,200,475,15,21,0,5,0
1303,0,0,3,17,10,1,1,0,1,0
1304,1,4,1637,86,26,2,8,3,4,15
