taxID,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18
52,0,0,0,0,2,0,0,0,0,0
56,0,0,0,0,17,0,0,0,0,0
213,0,0,0,0,1,4,5,1,0,0
217,3,0,0,0,4,0,0,63,0,0
235,0,0,0,0,0,1,0,59,0,0
250,0,0,1,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,1,0,0
297,0,0,0,1,0,0,0,0,0,0
303,0,0,0,0,0,0,0,114,0,0
316,0,0,0,0,0,0,0,1,0,0
333,0,0,0,0,0,0,0,1,0,0
376,0,0,0,0,0,0,0,2,0,11
470,0,0,0,0,0,0,0,2,0,0
471,0,0,0,0,0,0,0,7,0,0
518,0,3,0,0,0,0,0,11,0,0
519,6,2,0,0,0,0,0,12,0,0
521,0,0,0,0,0,0,0,1,0,0
529,0,2,0,1,0,62,0,7000,2,0
545,61,0,0,0,2,0,0,0,0,0
546,8,0,0,0,0,0,0,0,0,0
550,5,0,0,0,0,0,0,0,0,0
562,143511,22,52,18,1653,18,44,19,618,2077
564,8145,4,5,1,133,1,2,1,14,131
565,1,0,0,0,0,0,0,0,0,0
571,7,0,0,0,0,0,0,0,0,0
573,3852,2,7,4,63,4,6,2,19,82
582,31,0,0,0,1,0,0,0,1,1
584,19,0,0,0,0,0,0,0,1,0
588,19,0,0,0,0,0,0,0,1,0
595,27,0,0,0,0,0,0,0,0,1
596,1,0,0,0,0,0,0,0,0,0
598,29,0,0,0,1,0,0,0,1,1
605,7,0,0,0,0,0,0,0,0,0
611,12,0,0,0,0,0,0,0,0,0
615,4,0,0,0,0,0,0,0,0,0
618,3,0,0,0,0,0,0,0,0,0
621,1404,0,0,0,12,0,1,1,5,11
622,2454,1,1,1,21,0,0,0,5,29
623,4180,0,3,2,39,0,0,1,19,89
624,2943,0,0,0,34,0,0,1,15,68
630,1,0,0,0,0,0,0,0,0,0
632,4,0,0,0,0,0,0,0,0,0
636,1,0,0,0,0,0,0,0,0,0
638,2,0,0,0,0,0,0,0,0,0
817,0,0,0,0,0,2,1,1,3,0
818,9,6,0,0,0,17,11,5,34,0
820,1777,19,2,0,2,960,763,357,1834,25
821,0,0,0,0,0,7,2,0,2,0
823,9747,5,2,7,4,1723,298,3,6192,1438
831,0,1,0,0,0,0,0,0,1,0
839,4,0,0,0,0,12,12,4,0,6
876,5,0,0,0,0,4,2,0,18,0
907,0,2,0,0,0,0,0,0,0,0
964,0,0,0,0,0,0,0,1,0,0
1017,0,0,0,0,0,1,0,0,0,0
1042,0,18,1,0,0,0,0,0,0,16
1076,0,0,0,0,0,0,0,0,0,1
1112,0,0,0,0,0,0,0,0,0,1
1126,4,0,0,0,0,62,36,0,0,0
1140,0,0,0,0,0,4,7,1,0,0
1249,0,0,0,0,0,0,0,0,0,1
1254,0,0,0,0,0,0,0,0,0,1
1255,0,0,0,0,0,0,1,0,0,0
1260,0,1,0,0,0,0,0,0,0,0
1270,0,0,0,0,1,0,1,0,0,0
1273,0,0,0,0,5,0,0,1,0,0
1280,3,1,0,399,237,7,3,1,89,0
1281,1,0,0,43,9,0,0,0,0,0
1282,0,1,3,8,6645,1,2,4,6999,2
1283,0,0,0,3,16,0,0,0,34,0
1286,0,0,0,12,0,0,0,0,1,0
1288,0,0,0,3,0,0,0,0,0,0
1290,0,0,0,1,5,0,0,0,5,0
1292,1,0,0,151,46,1,0,1,1,0
1293,0,0,0,3,0,0,0,0,0,0
1294,0,0,0,0,1,0,0,0,0,0
1296,148,3,1,12997,4037,131,28,1,3,3
1302,0,0,0,6,80,1,0,0,0,0
1303,0,0,0,1,2,0,1,0,1,0
1304,1,3,1371,1,4,2,6,3,1,6
1305,1,0,2,629,143,8,1,1,14,1
1307,1,3,2,1442,435,16,7,3,34,6
1308,0,1,406,38,10,0,0,0,1,0
1310,0,0,0,0,1,0,0,0,0,0
1313,0,0,0,25,6,1,0,0,0,0
1314,0,0,1,4,0,0,0,0,0,7
1318,0,0,0,15,45,0,5,0,1,0
1326,0,0,0,19,4,0,0,0,1,0
1328,0,0,0,0,14,2,1,0,1,0
